Name,Gender,Age,Salary,LocationId,Churned,AccountId,Tenure,Balance,NumProducts,HasCreditCard,IsActive,Geography_France,Geography_Germany,Geography_Spain,Geography_UK,Geography_USA
Onyeorulu,0,34,159235.29,3,0,A15701164SID,4,90307.62,1,1,1,0,0,1,0,0
Beit,0,46,1907.66,5,0,A15738751SID,4,119827.49379288737,2,1,0,0,0,0,0,0
Ndukaku,0,75,114675.75,3,0,A15805254SID,10,119827.49379288737,2,1,1,0,0,1,0,0
Gant,1,22,128643.35,4,1,A15762418SID,3,121681.82,1,1,0,0,0,0,1,0
Rowley,1,30,151869.35,6,0,A15625759SID,9,119827.49379288737,2,1,0,0,0,0,0,1
Sharpe,0,46,93251.42,2,1,A15622897SID,4,119827.49379288737,3,1,0,1,0,0,0,0
Osborne,0,28,156791.36,4,0,A15767954SID,3,81623.67,2,1,1,0,0,0,1,0
Heap,0,44,174205.22,6,1,A15757535SID,5,119827.49379288737,3,1,1,0,0,0,0,1
Ritchie,1,45,147132.46,6,0,A15731511SID,7,118626.55,2,1,0,0,0,0,0,1
Cole,0,36,109614.57,2,0,A15809248SID,10,119827.49379288737,2,1,0,1,0,0,0,0
Capon,1,29,172290.61,3,0,A15640635SID,8,119827.49379288737,2,1,1,0,0,1,0,0
Capon,1,42,85982.47,5,0,A15676966SID,4,119827.49379288737,2,0,1,0,0,0,0,0
Fiorentini,1,35,121277.78,5,0,A15699461SID,10,176273.95,1,0,1,0,0,0,0,0
Graham,1,41,64595.25,3,0,A15738721SID,9,102827.44,1,0,1,0,0,1,0,0
Yuille,1,29,197276.13,3,0,A15693683SID,8,97086.4,2,1,1,0,0,1,0,0
Allard,1,22,99645.04,4,0,A15604348SID,8,119827.49379288737,2,0,0,0,0,0,1,0
Fanucci,1,34,6534.18,2,0,A15633059SID,9,119827.49379288737,2,0,0,1,0,0,0,0
Fu,0,40,161848.03,6,0,A15808582SID,6,119827.49379288737,1,1,1,0,0,0,0,1
Hung,0,44,167162.43,5,0,A15743192SID,6,119827.49379288737,2,0,0,0,0,0,0,0
Hung,1,31,41970.72,3,0,A15580146SID,9,82674.15,1,1,0,0,0,1,0,0
Bradley,1,36,60536.56,6,0,A15776605SID,7,119827.49379288737,2,1,0,0,0,0,0,1
Dunbabin,0,65,177655.68,2,1,A15804919SID,1,119827.49379288737,1,1,1,1,0,0,0,0
Mauldon,0,46,30984.59,5,1,A15613854SID,4,107073.27,2,1,1,0,0,0,0,0
Stiger,1,32,10054.53,1,0,A15599195SID,1,88938.62,1,1,1,0,1,0,0,0
Parsons,0,36,36976.52,2,0,A15812878SID,2,99806.85,1,0,1,1,0,0,0,0
Walkom,1,33,71862.79,3,0,A15602312SID,5,150092.8,1,0,0,0,0,1,0,0
T'ang,1,35,99449.86,2,1,A15744689SID,9,92833.89,1,1,0,1,0,0,0,0
Eremenko,1,30,63082.88,1,0,A15803526SID,3,90536.81,1,0,1,0,1,0,0,0
Rowntree,1,39,27231.26,6,0,A15665790SID,7,108055.1,2,1,0,0,0,0,0,1
Thorpe,1,42,86797.41,4,0,A15715951SID,2,100238.35,1,0,0,0,0,0,1,0
Chiemela,1,36,22994.32,4,0,A15591100SID,9,106190.55,1,0,1,0,0,0,1,0
Fanucci,1,28,101300.94,4,1,A15609618SID,9,154475.54,2,0,1,0,0,0,1,0
Ko,0,30,74169.13,4,0,A15675522SID,9,132351.29,2,1,1,0,0,0,1,0
Welch,0,37,115638.29,2,0,A15705512SID,6,167864.4,1,1,0,1,0,0,0,0
Duncan,0,41,31766.3,4,0,A15698028SID,1,119827.49379288737,2,1,0,0,0,0,1,0
Chidozie,0,31,199725.39,4,1,A15661670SID,8,107818.63,1,1,0,0,0,0,1,0
Wu,1,34,120834.48,5,0,A15600781SID,4,185173.81,2,1,0,0,0,0,0,0
Culbreth,1,34,38131.77,6,0,A15682472SID,8,129433.34,2,0,0,0,0,0,0,1
Kennedy,1,39,100130.95,6,0,A15580203SID,6,120193.42,1,0,0,0,0,0,0,1
Cameron,0,39,141069.88,2,0,A15690673SID,6,119827.49379288737,2,1,0,1,0,0,0,0
Calabresi,0,48,198129.36,1,0,A15760085SID,10,126384.42,1,1,1,0,1,0,0,0
Zetticci,0,28,183646.41,6,0,A15779659SID,3,119827.49379288737,1,0,0,0,0,0,0,1
Fuller,1,42,110265.24,2,1,A15627360SID,9,152603.45,1,1,0,1,0,0,0,0
MacDonald,0,52,8636.05,1,1,A15671137SID,1,119827.49379288737,1,0,1,0,1,0,0,0
Piccio,1,56,46824.08,2,1,A15782688SID,0,148507.24,1,1,0,1,0,0,0,0
Kennedy,0,41,171378.77,1,0,A15575492SID,7,119827.49379288737,2,1,0,0,1,0,0,0
Fernie,1,24,167256.35,1,0,A15591607SID,9,101827.07,1,1,0,0,1,0,0,0
He,0,34,124226.16,5,0,A15740404SID,3,119827.49379288737,2,1,1,0,0,0,0,0
Kaodilinakachukwu,0,33,114935.21,2,0,A15718369SID,9,130862.43,1,1,1,1,0,0,0,0
Cocci,1,38,35608.88,4,0,A15677871SID,9,122570.87,1,1,1,0,0,0,1,0
Alekseeva,1,25,16459.37,2,0,A15642004SID,1,119827.49379288737,2,0,1,1,0,0,0,0
Chinweike,1,39,124411.08,2,0,A15712543SID,7,124828.46,2,1,1,1,0,0,0,0
Arthur,0,50,34941.23,1,0,A15584518SID,5,144895.05,2,1,1,0,1,0,0,0
Li,0,34,167784.28,5,0,A15802381SID,5,63663.93,1,0,1,0,0,0,0,0
Ma,1,40,93165.34,4,0,A15610156SID,2,133463.1,1,0,1,0,0,0,1,0
Chia,0,48,75161.25,3,1,A15594408SID,2,213146.2,1,1,0,0,0,1,0,0
Vasin,0,35,8590.83,6,1,A15640905SID,1,129490.36,2,0,1,0,0,0,0,1
Groves,1,44,189543.9,2,0,A15698932SID,10,137452.09,1,1,0,1,0,0,0,0
Tien,1,34,180427.24,2,0,A15724944SID,7,119827.49379288737,2,1,1,1,0,0,0,0
Forwood,0,43,193318.33,4,0,A15628145SID,5,125851.93,1,1,1,0,0,0,1,0
Greeves,1,52,159123.82,4,1,A15713483SID,2,119827.49379288737,1,1,0,0,0,0,1,0
Taylor,0,31,126213.84,6,1,A15612350SID,5,40915.55,1,1,0,0,0,0,0,1
Madukwe,0,21,54141.5,5,0,A15800703SID,5,113157.22,1,1,1,0,0,0,0,0
Bennelong,0,29,141075.51,2,0,A15705707SID,8,138296.94,2,1,0,1,0,0,0,0
Olisanugo,1,37,24495.03,6,0,A15754105SID,5,106967.18,1,0,0,0,0,0,0,1
Chukwufumnanya,1,44,74836.34,4,0,A15703264SID,9,120681.63,1,1,0,0,0,0,1,0
Harris,1,32,878.87,5,0,A15794413SID,0,119827.49379288737,2,0,1,0,0,0,0,0
Morgan,0,32,89520.75,3,0,A15650237SID,7,119827.49379288737,2,1,0,0,0,1,0,0
Alexeeva,0,48,149892.79,2,1,A15759618SID,9,119827.49379288737,1,1,0,1,0,0,0,0
Metcalfe,1,42,180800.42,2,0,A15811589SID,8,119827.49379288737,2,1,0,1,0,0,0,0
Humphries,1,37,98646.22,2,0,A15689044SID,2,127609.59,1,1,0,1,0,0,0,0
Milne,0,43,109041.53,4,0,A15709368SID,6,119827.49379288737,2,1,1,0,0,0,1,0
Chou,1,57,17941.16,4,1,A15679145SID,7,119827.49379288737,1,1,0,0,0,0,1,0
Li,0,33,82996.47,3,0,A15655007SID,7,119827.49379288737,2,0,0,0,0,1,0,0
Clayton,0,28,92067.35,5,0,A15623595SID,2,119827.49379288737,2,1,1,0,0,0,0,0
Maclean,0,73,104719.66,3,0,A15589975SID,6,97259.25,1,0,1,0,0,1,0,0
Chigolum,0,33,112687.57,2,0,A15804017SID,4,123246.7,1,0,0,1,0,0,0,0
Wilkinson,0,22,84699.56,3,0,A15692132SID,6,101060.25,1,0,1,0,0,1,0,0
Wei,1,30,83473.82,6,0,A15641122SID,2,119827.49379288737,2,1,0,0,0,0,0,1
Treacy,0,49,47125.11,1,0,A15630910SID,7,108007.36,1,0,0,0,1,0,0,0
Hu,0,36,106977.8,1,0,A15680772SID,2,119827.49379288737,2,1,1,0,1,0,0,0
Taverner,1,29,55582.54,5,1,A15658929SID,0,133702.89,1,1,0,0,0,0,0,0
Sherman,1,31,139874.43,1,0,A15585388SID,9,125189.75,2,1,1,0,1,0,0,0
Taubman,0,24,162503.48,3,1,A15724623SID,7,113034.22,1,1,0,0,0,1,0,0
Robinson,0,41,196499.96,3,0,A15588537SID,9,109013.23,1,1,0,0,0,1,0,0
Pinto,0,39,40721.24,6,1,A15574692SID,2,119827.49379288737,2,1,0,0,0,0,0,1
Wood,1,24,53134.3,4,0,A15611325SID,9,57929.81,2,0,0,0,0,0,1,0
Hawkins,0,29,164017.89,3,0,A15587562SID,4,130114.39,1,1,0,0,0,1,0,0
Sun,1,27,155996.96,2,0,A15613172SID,5,95826.49,2,1,0,1,0,0,0,0
Yost,1,44,5472.7,6,1,A15651022SID,10,129608.57,1,1,0,0,0,0,0,1
Ting,1,30,112187.11,2,0,A15586310SID,4,169462.09,1,1,0,1,0,0,0,0
Rowe,1,40,146457.83,6,0,A15625524SID,5,119827.49379288737,2,1,1,0,0,0,0,1
Fu,0,35,27286.1,1,0,A15755209SID,7,133868.21,1,1,1,0,1,0,0,0
Ho,0,30,130553.47,4,0,A15645248SID,0,119827.49379288737,2,1,1,0,0,0,1,0
Okechukwu,1,36,179351.89,3,0,A15790355SID,5,190479.48,2,0,0,0,0,1,0,0
Campbell,0,40,94774.12,6,0,A15762615SID,8,101993.12,1,0,1,0,0,0,0,1
Ashbolt,0,55,8080.85,6,1,A15625426SID,3,161608.81,1,1,0,0,0,0,0,1
Rozier,0,45,19482.5,4,0,A15716334SID,2,122311.21,1,1,1,0,0,0,1,0
Hsia,1,65,48071.61,6,0,A15789669SID,2,119827.49379288737,2,1,1,0,0,0,0,1
Ogbonnaya,0,45,174531.27,6,0,A15621075SID,1,162150.42,2,1,0,0,0,0,0,1
T'ang,1,42,55470.78,3,0,A15810845SID,2,119827.49379288737,2,1,1,0,0,1,0,0
Cocci,0,50,8546.87,2,1,A15719377SID,4,119827.49379288737,1,1,1,1,0,0,0,0
Chang,1,32,95857.18,5,0,A15654506SID,8,119827.49379288737,2,1,0,0,0,0,0,0
T'ao,0,39,194945.8,1,0,A15771977SID,1,99010.67,1,1,0,0,1,0,0,0
Ford,0,37,131521.72,4,0,A15708710SID,0,119827.49379288737,1,0,1,0,0,0,1,0
Marshall,1,30,196108.51,5,0,A15726676SID,5,119827.49379288737,2,0,1,0,0,0,0,0
Tsai,0,34,148564.76,4,0,A15587421SID,7,111388.18,2,1,0,0,0,0,1,0
Onwumelu,0,41,92982.61,1,1,A15726931SID,8,56214.85,2,0,0,0,1,0,0,0
Graham,0,36,17675.36,2,0,A15771086SID,3,84327.77,2,1,0,1,0,0,0,0
Golovanov,1,40,114996.43,5,0,A15756850SID,1,119827.49379288737,2,0,0,0,0,0,0,0
Potts,1,32,86957.42,1,0,A15702741SID,8,93012.89,1,1,0,0,1,0,0,0
Crawford,1,29,128077.8,6,0,A15679200SID,9,61710.44,2,1,0,0,0,0,0,1
Aleshire,1,35,600.36,5,0,A15594815SID,3,174790.15,1,1,1,0,0,0,0,0
Moran,0,32,43001.46,4,0,A15635905SID,6,119827.49379288737,2,1,1,0,0,0,1,0
Samsonova,1,37,158591.12,3,0,A15777892SID,3,107720.64,1,1,1,0,0,1,0,0
Jenkins,1,57,47847.19,2,0,A15656176SID,10,119827.49379288737,2,1,1,1,0,0,0,0
Volkov,1,35,10488.44,5,0,A15811127SID,6,96423.84,1,1,0,0,0,0,0,0
Chiemezie,1,30,5978.2,3,0,A15604482SID,2,141040.01,1,1,1,0,0,1,0,0
Jude,1,42,121409.06,3,0,A15622911SID,4,105420.18,1,0,1,0,0,1,0,0
He,1,50,146145.93,2,1,A15600974SID,5,119827.49379288737,1,0,1,1,0,0,0,0
Onuora,0,38,14374.86,1,1,A15727868SID,2,129022.06,2,1,1,0,1,0,0,0
Ginikanwa,1,33,94670.77,1,0,A15627801SID,3,176666.62,1,1,0,0,1,0,0,0
Ku,1,37,179670.31,3,0,A15773039SID,3,119827.49379288737,1,1,1,0,0,1,0,0
McDonald,0,41,199304.74,2,1,A15755262SID,3,89763.84,1,0,0,1,0,0,0,0
Collins,1,34,151954.39,3,0,A15679531SID,5,134954.53,1,1,1,0,0,1,0,0
Hackett,1,45,142513.5,6,1,A15684181SID,5,119827.49379288737,1,1,0,0,0,0,0,1
Dike,1,45,158264.62,2,0,A15612087SID,2,106376.85,1,0,1,1,0,0,0,0
Trevisano,1,33,169381.9,5,0,A15752047SID,2,161814.64,2,1,0,0,0,0,0,0
Tan,1,31,169915.02,5,0,A15624592SID,8,119827.49379288737,2,1,1,0,0,0,0,0
Glassman,0,41,88852.47,6,0,A15573152SID,9,119827.49379288737,2,0,0,0,0,0,0,1
Miller,0,34,40645.81,2,0,A15594917SID,1,63095.01,1,1,1,1,0,0,0,0
Kornilova,1,26,60427.3,3,0,A15785542SID,4,118287.01,2,0,0,0,0,1,0,0
Watson,1,47,157959.02,3,1,A15723488SID,7,106854.21,1,0,1,0,0,1,0,0
Marchesi,1,46,133007.34,3,0,A15680920SID,7,49512.55,1,1,0,0,0,1,0,0
Millar,0,33,176576.62,6,0,A15786308SID,9,119827.49379288737,2,0,0,0,0,0,0,1
Shih,1,43,34888.04,6,1,A15659366SID,1,105799.32,2,1,0,0,0,0,0,1
Fuller,1,54,28737.71,4,1,A15774854SID,8,119827.49379288737,1,1,1,0,0,0,1,0
Hay,0,31,98178.57,5,0,A15725311SID,9,114722.05,2,1,1,0,0,0,0,0
Yang,1,30,125010.24,5,0,A15787155SID,7,119827.49379288737,1,0,1,0,0,0,0,0
McIntyre,1,42,167984.61,1,0,A15727829SID,2,119827.49379288737,2,1,1,0,1,0,0,0
Stevenson,1,33,4861.72,5,1,A15733247SID,10,119827.49379288737,1,1,0,0,0,0,0,0
Poole,1,45,108872.45,6,1,A15568748SID,6,99564.22,1,1,1,0,0,0,0,1
Bagley,1,37,198252.88,6,0,A15699029SID,4,170557.91,2,1,0,0,0,0,0,1
Ch'ien,0,30,26960.31,3,0,A15774393SID,9,119827.49379288737,2,1,1,0,0,1,0,0
Cattaneo,0,39,85746.52,6,1,A15676895SID,6,74596.15,3,1,1,0,0,0,0,1
O'Sullivan,1,50,77206.25,6,1,A15637753SID,2,96888.39,1,1,0,0,0,0,0,1
Lucas,0,29,61048.53,1,0,A15605461SID,3,130830.22,1,1,0,0,1,0,0,0
Ringrose,1,72,111981.19,6,0,A15808473SID,1,119827.49379288737,2,0,1,0,0,0,0,1
Freeman,1,40,62232.6,6,0,A15627000SID,0,119827.49379288737,2,1,0,0,0,0,0,1
Sergeyev,0,37,156105.03,2,0,A15787174SID,1,119827.49379288737,2,0,1,1,0,0,0,0
Fiore,1,20,150135.38,4,0,A15723886SID,3,119714.25,2,0,1,0,0,0,1,0
Smith,0,67,93146.11,6,0,A15704769SID,5,113978.97,2,0,1,0,0,0,0,1
Dumetochukwu,1,42,33462.94,6,1,A15772896SID,6,100160.75,1,1,0,0,0,0,0,1
Pacheco,0,29,144375.0,3,0,A15711540SID,2,119827.49379288737,1,1,1,0,0,1,0,0
Synnot,0,43,55803.96,6,1,A15764866SID,3,116220.5,3,1,0,0,0,0,0,1
Johnston,0,46,89048.46,2,1,A15794056SID,2,119827.49379288737,3,1,0,1,0,0,0,0
Stevens,1,28,162812.16,1,0,A15795149SID,2,81173.83,2,0,1,0,1,0,0,0
Grant,1,38,136259.65,3,0,A15812009SID,4,119827.49379288737,2,1,0,0,0,1,0,0
Tsao,0,39,124052.97,3,0,A15651001SID,5,116803.8,1,1,0,0,0,1,0,0
Barnes,1,37,74158.8,1,0,A15813844SID,8,105961.68,2,0,1,0,1,0,0,0
McIntosh,1,67,45071.09,6,1,A15596175SID,6,117411.6,1,1,1,0,0,0,0,1
Madison,1,34,62030.06,4,0,A15576269SID,7,119827.49379288737,2,1,0,0,0,0,1,0
Ifesinachi,0,40,131953.23,5,1,A15797219SID,10,123497.58,1,1,0,0,0,0,0,0
Glazkov,1,26,79414.0,2,0,A15685500SID,7,152400.51,2,1,0,1,0,0,0,0
Dimauro,0,26,199638.56,6,0,A15599792SID,1,119827.49379288737,2,1,1,0,0,0,0,1
Wieck,1,24,157577.29,5,0,A15657566SID,8,103097.85,1,1,1,0,0,0,0,0
Liao,1,54,134420.75,2,1,A15772423SID,8,126418.14,1,1,0,1,0,0,0,0
Hughes,0,36,99805.99,3,0,A15628112SID,5,77846.9,1,0,0,0,0,1,0,0
Morrison,0,34,97932.68,3,0,A15753754SID,1,119827.49379288737,2,1,1,0,0,1,0,0
Matveyeva,0,79,170968.99,4,0,A15793726SID,0,119827.49379288737,2,0,1,0,0,0,1,0
Ku,1,37,57558.95,4,0,A15694717SID,2,79731.91,1,1,1,0,0,0,1,0
Cheatham,1,28,176713.47,6,0,A15665834SID,8,119827.49379288737,1,0,0,0,0,0,0,1
Yao,1,41,34283.23,1,0,A15765297SID,0,119827.49379288737,2,0,1,0,1,0,0,0
Kirkland,1,34,198637.34,4,0,A15636684SID,10,119827.49379288737,2,1,1,0,0,0,1,0
Rose,0,34,156917.12,4,0,A15592979SID,6,37266.67,2,0,0,0,0,0,1,0
Jess,0,30,50457.2,1,0,A15750803SID,6,127992.25,1,1,1,0,1,0,0,0
Welch,1,38,140075.55,6,0,A15607178SID,3,54901.01,1,1,1,0,0,0,0,1
Ifeajuna,1,42,65323.11,2,0,A15713853SID,9,108748.08,2,1,1,1,0,0,0,0
Morton,0,48,64323.24,1,0,A15673481SID,6,99906.19,1,1,0,0,1,0,0,0
Rossi,0,32,14956.44,5,0,A15686776SID,6,184686.41,2,1,0,0,0,0,0,0
Reppert,0,26,111879.21,2,0,A15673693SID,0,110654.02,1,0,1,1,0,0,0,0
Kang,1,31,18606.23,3,0,A15700696SID,9,79019.8,1,1,1,0,0,1,0,0
Ch'iu,0,36,123137.01,5,0,A15813163SID,9,99240.51,1,1,0,0,0,0,0,0
Wallis,1,34,148528.24,3,0,A15653857SID,2,119827.49379288737,2,1,1,0,0,1,0,0
Clark,1,36,13898.31,6,0,A15777076SID,7,119827.49379288737,2,1,0,0,0,0,0,1
Fielding,0,39,81259.25,2,1,A15717398SID,7,119827.49379288737,1,0,0,1,0,0,0,0
Zetticci,0,35,161051.75,4,0,A15799217SID,7,52436.2,1,1,0,0,0,0,1,0
Dulhunty,1,41,191599.67,4,0,A15787071SID,9,119827.49379288737,2,0,1,0,0,0,1,0
Bevington,1,34,48559.19,1,1,A15619955SID,3,100337.96,3,1,0,0,1,0,0,0
Boyle,0,34,186339.74,1,0,A15796505SID,1,149297.19,2,1,1,0,1,0,0,0
Newton,1,30,33159.37,2,0,A15725166SID,8,119827.49379288737,2,1,0,1,0,0,0,0
Bowman,1,28,93883.53,2,0,A15800116SID,4,145605.44,1,0,1,1,0,0,0,0
Dubinina,0,37,110899.3,2,0,A15758685SID,7,119827.49379288737,2,1,1,1,0,0,0,0
Toscani,1,62,11199.04,6,1,A15694456SID,3,119827.49379288737,1,1,1,0,0,0,0,1
Chiazagomekpere,0,53,189992.97,2,0,A15767339SID,10,119827.49379288737,2,1,0,1,0,0,0,0
Allen,1,35,164255.69,2,0,A15683562SID,6,84026.86,1,0,1,1,0,0,0,0
